topic,content,date,section,company,url
What Does an Audience Mean to Performers?,"The absence of an audience has affected performers of all
types and traditions. Before the era of the phonograph,
Hindustani classical musicians not only took inspiration from
their listeners but also improvised directly in response to their
reactions. The exact sound and shape of the performance,
then, was determined in part by the interaction of artist and
audience. For those who recorded, one way to compensate
was to manufacture an audience, planting enthusiastic listeners
in the studio. On an acousticera recording of Maujuddin Khan,
for example, one can hear a few “plants” shouting “Wah! Wah!
Maujuddin Khan!” In a more recent example, I myself was an
unwitting plant in a recording session for the rock group
Rotoglow. After observing from the control room, I was invited
to sit in the studio while the band was recording. Squeezed
between the lead guitarist and the drummer, I was sure I was a
distraction, and after a few songs I volunteered to return to the
other side of the glass. To my surprise, the group insisted that I
stay. “You’re a part of this, man!” one of them declared. I hardly
acted like a typical rock concertgoer. I sat quietly in a chair, my
only actions consisting of taking notes and stuffing my ears with
wadded toilet paper. Nevertheless, my presence must
have in some way met the band’s need or desire for an
audience.",201610,topic,CSAT,UNK
"proud, happy","When Amy heard her name called, she stood up from her seat and
made her way to the stage. Dr. Wilkinson was pinning a gold medal
on each of the top five medical graduates. He shook Amy’s hand and
congratulated her on her accomplishment. Amy felt overwhelmingly
thrilled for being mentioned as one of the top five medical graduates
of her school. Amy walked back to her seat satisfied with her
academic performance and pleased with her success. She just
received a special honor. This special recognition would help her to
continue fulfilling her life-long dream of becoming a dedicated doctor.",201611,atmosphere,CSAT,UNK
Do not answer the phone when you listen to the other person carefully.,"Don’t let distractions interrupt your attentive listening to the speaker.
You want to send the message that what the speaker is saying is
important to you. That message will ring hollow if you answer your
cell phone and put the speaker on hold. If your cell phone rings while
you are in a conversation, fight the urge to answer. For reasons
unknown, most people feel compelled to answer a ringing phone.
The fact that your cell phone is ringing doesn’t mean you have to
answer it. Rarely are phone calls urgent. If no message is left, that is
clearly the case. And if a message is left, you can listen to it, usually
in a matter of minutes, once your conversation has finished. Even in
today’s tech-savvy world, answering phone calls during a
conversation is disrespectful.",201611,opinion,CSAT,UNK
"To change the results that are revealed, you first need to change the fundamentals.","Imagine a tree. Let’s suppose this tree represents the tree of life. On
this tree there are fruits. In life, our fruits are called our results. So we
look at the fruits (our results) and we don’t like them; there aren’t
enough of them, they’re too small, or they don’t taste good. So what
do we tend to do? Most of us put even more attention and focus on
the fruits, our results. But what is it that actually creates those
particular fruits? It’s the seeds and the roots that create those fruits.
It’s what’s under the ground that creates what’s above the ground.
It’s what’s invisible that creates what’s visible. So what does that
mean? It means that if you want to change the fruits, you will first
have to change the roots. If you want to change the visible, you must
first change the invisible.",201611,topic,CSAT,UNK
effective ways to change bad study habits,"One might wonder whether there is any reason to be concerned
about overconfidence in students. After all, confidence is often
considered a positive trait. Indeed, research suggests that students
who are confident about their ability to succeed in school tend to
perform better on academic tests than those with less confidence.
That said, negative consequences also stem from being too
confident in the classroom. Students who are overconfident about
their ability to succeed in college end up feeling more disconnected
and disillusioned than those with more modest expectations.
Overconfidence can also leave students with mistaken impressions
that they are fully prepared for tests and no longer need to study.
Students who have relatively accurate perceptions regarding their
progress in learning tend to use more effective study habits and
perform better on tests than do those with more error-prone views of
their knowledge.",201611,topic,CSAT,UNK
Success Doesn’t Come Without Failure,"In the history of sports and in our ‘winning is everything’ culture, I’m
not aware of anyone who ever won every game, or every event, or
every championship they competed for. Roger Federer, the great
tennis player who some call the greatest of all time, has won a record
seventeen Grand Slam titles. Yet, he has competed in more than
sixty Grand Slam events. Thus, perhaps the greatest tennis player
ever failed more than two-thirds of the time. While we don’t think of
him as a failure, but rather as a champion, the plain fact is, he failed
much more than he succeeded on this measure, and that’s generally
the way things are for anyone. Failure precedes success. Simply
accept that failure is part of the process and get on with it.",201611,topic,CSAT,UNK
A certain level of unavailability will make you more of a mystery and a challenge.,"People are attracted to individuals and things they cannot readily
obtain. In the case with things, people are more attracted to a desired
object because it is out of their reach. When the object of desire is
finally gained, the attraction for the object rapidly decreases. Christmas
presents provide a good example of this phenomenon. Toys children
wanted all year long are thrown away several days after they are taken
from gift boxes under the tree. The phenomenon also holds true for
human interaction, particularly in the early stages of a developing
relationship. The common dating rule has scientific merit. An individual
should not always make himself or herself readily available to the
person they are targeting for a longer-term relationship.",201611,blank,CSAT,UNK
We become more successful when we are happier and more positive,"For example, doctors put in a positive mood before making a diagnosis show almost three times
more intelligence and creativity than doctors in a neutral state, and they
make accurate diagnoses 19 percent faster. Salespeople who are
optimistic sell more than those who are pessimistic by 56 percent.
Students who are made to feel happy before taking math achievement
tests perform much better than their neutral peers. It turns out that our
brains are literally programmed to perform at their best not when they
are negative or even neutral, but when they are positive.",201611,blank,CSAT,UNK
Their questions assume that our stories should fit their scripts: ,"Questions convey interest, but sometimes the interest they convey is
not closely related to what the person is trying to say. Sometimes the
distraction is obvious. If you’re telling a friend all the unpleasant things
you experienced on your vacation, and she interrupts with a lot of
questions about where you stayed, you won’t feel listened to. At other
times people seem to be following but can’t help trying to lead. These
listeners force their own narrative structures on our experience. “Problems should be denied or made to go
away”; “Everyone should be together”; “Bullies must be confronted.” By
finishing our sentences, pumping us with questions, and otherwise
pushing us to say what they want to hear, controlling listeners violate
our right to tell our own stories.",201611,blank,CSAT,UNK
"According to the study, the amount of money people contributed
to an ‘honesty box’ increased when an image caused them to feel that
they were being watched","Recent experimental evidence for the importance of reputation
in facilitating cooperation has come from an analysis of the
contributions to an ‘honesty box’ for drinks in a university
departmental coffee room. Bateson and colleagues looked at
contributions to the box when images (always posted above the
recommended price list) of a pair of eyes were alternated on a
weekly basis with images of flowers. The amount of milk
consumed turned out to be the best indicator of total
consumption, but remarkably almost three times more money
was paid per liter in weeks when there were eyes portrayed,
compared to when there were flowers portrayed. Of course this
experiment was only conducted in one location, but the effect
size is impressive and it seems to indicate that individuals do not
want to be observed cheating the system.",201611,topic,CSAT,UNK
Popularity Greatly Affects Product Success,"When Harry Potter and the Deathly Hallows, the seventh and final
volume of J. K. Rowling’s fantasy series about the adventures of a
boy wizard, was released in the United States in 2007, it sold 8.3
million copies in its first 24 hours on sale. Was the last Harry Potter
book that good? Perhaps it and the earlier six volumes were
genuinely brilliant─despite the fact that eight publishers declined to
publish the first volume. But although success is at least partly
determined by intrinsic quality, it is also possible that what people
come to like depends very much on what they believe others like.
In such a world, the explanation for why a particular book becomes
a hit may be as simple as this publisher’s: “It sold well because lots
of people bought it.” Because social information is now being shared much more
widely across virtual and actual borders than in the past, cultural
artifacts such as books and movies can now ‘snowball’ in
popularity in ways they could not a century ago, turning cultural
commerce into a collection of difficult-to-predict, winner-take-all
markets. Tiny differences in performance or product quality
translate into vast differences in payoff.",201611,topic,CSAT,UNK
To convey your intention to withdraw,"After much consideration, I have come to the conclusion that
the views of the Townsville Citizens Association and of
myself have become distinctly different over the past year. I
no longer feel that I can be a useful contributor to the goals
and mission of the organization. So I am writing to inform you
that after much thought, I am regretfully resigning as a
member of the Townsville Citizens Association. I also wish
you to know that even though I may no longer be a member, I
still sincerely hope for the continued success of this
organization.",201611_2,opinion,CSAT,UNK
"nervous,triumphant","By the tenth frame, my heart began to race. Cory, Laura, and Gray
were ahead of me, but only by a few points. The other kids were way
behind us. I studied the score sheet. If I could bowl a strike in this
frame, I would win the game. My hands were sweaty. I dried them off
on a towel. I stepped onto the lane. I took a deep breath. Raised the
ball... Sent it rolling down the center of the lane... And knocked down
all ten pins. I had bowled a strike on my last turn. I pumped my fist in
the air and came back to the bench victoriously.",201611_2,atmosphere,CSAT,UNK
You must properly recognize what is truly precious in your life.,"Imagine for a moment that today was your last day on Earth. Now,
make a list for yourself of all the things that you feel you have
accomplished, all the things you are proud of, and all the things that
make you happy. Is your car on the list? Your television? Is your
salary on the list? No. What’s on the list are the fundamental
elements of a satisfied life―your relationship with friends and family,
the contribution you have made to others’ lives, the celebrated
events of your life. Those are the building blocks of your list. Many of
us live day to day as if the opposite were true. Instead of
appreciating what is truly important and making that our priority, we
collect things and indicators of success without questioning just what
success really means. Remember what really matters in your life.",201611_2,opinion,CSAT,UNK
Reservoir Effect: Unintended Change in Earth’s Rotation,"We have constructed so many large reservoirs to hold water, and
they are located primarily in the Northern Hemisphere rather than
randomly around the globe. As a result, enough of Earth’s mass has
shifted to speed up its rotation. Currently, 88 huge reservoirs hold
some 10 trillion tons of water. Before the reservoirs were built, this
water was located in the ocean, which has most of its mass in the
Southern Hemisphere. The effect is like a whirling skater who pulls
her arms in to turn faster. Because natural factors in the
environment, such as the pull of tides, are gradually slowing Earth’s
rotation, the human influence is accidentally working against the
natural rate of deceleration. The shift in Earth’s mass has also
changed the location of the axis on which Earth rotates.",201611_2,topic,CSAT,UNK
It is more useful for students to provide descriptive feedback than grades,"Studies show that narrative feedback on students’ performance is
better than grades at both promoting kids’ self-motivation to learn
and boosting their achievement. Primary school teachers do a good
job of providing feedback in reports, but as soon as grades take over
from narrative comments as the main method of evaluation, students
and parents begin to lose out. When teachers offer information such
as “You did a great job of planning your ideas for this paper, and
formulating your main argument, but your body paragraphs don’t
address the question raised by the argument,” in response to a rough
draft of a paper, the student has information that praises the positive
elements, addresses failures, and gives useful information for her
better performance. In this way, informational feedback works much
like praise for efforts, and similarly boosts enthusiasm for the task
and later performance.",201611_2,topic,CSAT,UNK
usefulness of poetry in our lives,"Poetry sharpens our senses and makes us more keenly and fully
aware of life. Imagine, for a moment, that you are trying to describe
one of your friends. You could say the friend is tall, has blue eyes, a
mole on the left cheek, or a red nose. But that would only describe
the outside of this person. It wouldn’t tell people what your friend is
really like―the habits, feelings, all the little peculiarities that make
this person what he or she is and different from everyone else. You
would find it very difficult indeed to describe the inside of your friend,
even though you feel you know such a great friend through and
through. Now good poetry does describe life in that way; it tells us
about its inside as well as its outside, and thus it helps you to know
and love the world as intimately as you know and love a friend.",201611_2,topic,CSAT,UNK
 The group manifests a kind of collective intelligence that helps all within it to flee or discourage predators.,"Mathematical models of flocks of birds and schools of fish and
swarms of insects that move in unison demonstrate the same point:
there is no central control of the movement of the group. This behavior does not reside within individual
creatures but, rather, is a property of groups. Examination of flocks of
birds “deciding” where to fly reveals that they move in a way that
accounts for the intentions of all the birds, and, even more important,
the direction of movement is usually the best choice for the flock. Each
bird contributes a bit, and the flock’s concerted choice is better than an
individual bird’s would be.",201611_2,blank,CSAT,UNK
The evolutionary response to low light levels is to increase the size of the visual processing system,"The Neanderthals would have faced a problem when it was daylight:
the light quality is much poorer at high latitudes and this would have
meant that they couldn’t see things in the distance so well. For a
hunter, this is a serious problem, because you really don’t want to
make the mistake of not noticing the mother rhinoceros hiding in a dark
corner of the forest edge when trying to spear her calf. Living under low
light conditions places a much heavier premium on vision than most
researchers imagine. It is the familiar principle from conventional star-gazing telescopes: under the dim
lighting of the night sky, a larger mirror allows you to gather more of the
light from whatever you want to look at. By the same token, a larger
retina allows you to receive more light to compensate for poor light
levels.",201611_2,blank,CSAT,UNK
" As you can see, the same statistic can be cited as a cause for celebration or shame","It’s possible to lie with numbers, even those that are accurate, because
numbers rarely speak for themselves. They need to be interpreted by
writers. And writers almost always have purposes that shape the
interpretations. For example, you might want to announce the good
news that unemployment in the United States stands at just a little over
5 percent. That means 95 percent of Americans have jobs, an
employment rate much higher than that of most other industrial nations.
But let’s spin the figure another way. In a country as populous as the
United States, unemployment at 5 percent means that millions of
Americans don’t earn a daily wage. Indeed, one out ofeverytwentyadults
who wants work can’t find it. Suddenly that’s a sobering number.",201611_2,blank,CSAT,UNK
"Advertisers often give us information with an excessive precision, but
it can be considered as an intention to conceal the lack of reliability of
their research.","Inappropriate precision means giving information or figures to a
greater degree of apparent accuracy than suits the context. For
example, advertisers often use the results of surveys to prove
what they say about their products. Sometimes they claim a
level of precision not based reliably on evidence. So, if a
company selling washing powder claims 95.45% of British adults
agree that this powder washes whiter than any other, then this
level of precision is clearly inappropriate. It is unlikely that all
British adults were surveyed, so the results are based only on a
sample and not the whole population. At best the company
should be claiming that over 95% of those asked agreed that
their powder washes whiter than any other. Even if the whole
population had been surveyed, to have given the result to two
decimal points would have been absurd. The effect is to propose
a high degree of scientific precision in the research. Frequently,
however, inappropriate precision is an attempt to mask the
unscientific nature of a study.",201611_2,topic,CSAT,UNK
What Determines Species’ Survival,"Although organisms interact with their surroundings in many
ways, certain factors may be critical to a particular species’
success. A shortage or absence of this factor restricts the
success of the species; thus, it is known as a limiting factor.
Limiting factors can be quite different from one species to
another. The limiting factor for many species of fish is the amount of
dissolved oxygen in the water. In a swiftly flowing, tree-lined
mountain stream, the level of dissolved oxygen is high and so
provides a favorable environment for trout. As the stream
continues down the mountain, the steepness of the slope
decreases, which results in fewer rapids where the water
tumbles over rocks and becomes oxygenated. In addition, as the
stream becomes wider, the canopy of trees over the stream
usually is thinner, allowing more sunlight to reach the stream
and warm the water. Warm water cannot hold as much
dissolved oxygen as cool water. Therefore, slower-flowing,
warm-water streams contain less oxygen than rapidly moving,
cool streams. Fish such as black bass and walleye are adapted
to such areas, since they are able to tolerate lower oxygen
concentrations and higher water temperatures. Trout are not
able to survive under such conditions and are not found in warm,
less well-oxygenated water. Thus, low levels of oxygen and high
water temperatures are limiting factors for the distribution of
trout.",201611_2,topic,CSAT,UNK
embarrassed,"Finally, it was Shaun’s turn to give a speech. When he opened his mouth, nothing but air escaped his throat. Then he
tried to speak again, not knowing what to say. He had prepared to talk about time and he started with the word: ‘Time....’
But nothing followed. Shaun could not find the words. Laughter started to pass through the auditorium from front to back.
Even the judges looked disappointed. He didn’t know what to say. He looked into the crowd. The audience at the contest
were laughing out loud now, at him, at his inability.",201703,atmosphere,CSAT,UNK
The formation of a good habit has a positive effect on your overall life.,"Recent studies show some interesting findings about habit formation. In these studies, students who successfully
acquired one positive habit reported less stress; less impulsive spending; better dietary habits; decreased caffeine
consumption; fewer hours spent watching TV; and even fewer dirty dishes. Keep working on one habit long enough, and
not only does it become easier, but so do other things as well. It’s why those with the right habits seem to do better than
others. They’re doing the most important thing regularly and, as a result, everything else is easier.",201703,topic,CSAT,UNK
impacts of noise on academic achievement,"Noise in the classroom has negative effects on communication patterns and the ability to pay attention. Thus, it is not
surprising that constant exposure to noise is related to children’s academic achievement, particularly in its negative effects
on reading and learning to read. Some researchers found that, when preschool classrooms were changed to reduce noise
levels, the children spoke to each other more often and in more complete sentences, and their performance on prereading
tests improved. Research with older children suggests similar findings. On reading and math tests, elementary and high
school students in noisy schools or classrooms consistently perform below those in quieter settings.",201703,topic,CSAT,UNK
The City’s Greatest Attraction: People,"Studies from cities all over the world show the importance of life and activity as an urban attraction. People gather where
things are happening and seek the presence of other people. Faced with the choice of walking down an empty or a lively
street, most people would choose the street with life and activity. The walk will be more interesting and feel safer. Events
where we can watch people perform or play music attract many people to stay and watch. Studies of benches and chairs
in city space show that the seats with the best view of city life are used far more frequently than those that do not offer a
view of other people.",201703,topic,CSAT,UNK
Safe Purchase: What Consumers Pursue Eagerly,"Consumers are generally uncomfortable with taking high risks. As a result, they are usually motivated to use a lot of
strategies to reduce risk. Consumers can collect additional information by conducting online research, reading news
articles, talking to friends or consulting an expert. Consumers also reduce uncertainty by buying the same brand that they
did the last time, believing that the product should be at least as satisfactory as their last purchase. In addition, some
consumers may employ a simple decision rule that results in a safer choice. For example, someone might buy the most
expensive offering or choose a heavily advertised brand in the belief that this brand has higher quality than other brands.",201703,topic,CSAT,UNK
"But, their specialization did result in more efficient and productive work.","In small towns the same workman makes chairs and doors and tables, and often the same person builds houses. And it
is, of course, impossible for a man of many trades to be skilled in all of them. In large cities, on the other hand, because
many people make demands on each trade, one trade alone—very often even less than a whole trade—is enough to
support a man. For instance, one man makes shoes for men, and another for women. And there are places even where
one man earns a living by only stitching shoes, another by cutting them out, and another by sewing the uppers together.
Such skilled workers may have used simple tools.",201703,blank,CSAT,UNK
"we humans, by cooperating with one another, have become the earth’s dominant species.","About four billion years ago, molecules joined together to form cells. About two billion years later, cells joined together to
form more complex cells. And then a billion years later, these more complex cells joined together to form multicellular
organisms. All of these evolved because the participating individuals could, by working together, spread their genetic
material in new and more effective ways. Fastforward another billion years to our world, which is full of social animals,
from ants to wolves to humans. The same principle applies. Ants and wolves in groups can do things that no single ant or
wolf can do.",201703,blank,CSAT,UNK
" An advertisement must create an image that’s appealing and a map must
present an image that’s clear, but neither can meet its goal by telling or showing everything","What do advertising and mapmaking have in common? Without doubt the best answer is their shared need to
communicate a limited version of the truth. Ads will cover up or play down negative aspects of
the company or service they advertise. In this way, they can promote a favorable comparison with similar products or
differentiate a product from its competitors. Likewise, the map must remove details that would be confusing.",201703,blank,CSAT,UNK
A picture is worth a thousand words,"Did you know you actually think in images and not in words? Images are simply mental pictures showing ideas and
experiences. Early humans communicated their ideas and experiences to others for thousands of years by drawing
pictures in the sand or on the walls of their caves. Only recently have humans created various languages and alphabets to
symbolize these “picture” messages. Your mind has not yet adapted to this relatively new development. An image has a
much greater impact on your brain than words; the nerves from the eye to the brain are twentyfive times larger than the
nerves from the ear to the brain. You often remember a person’s face but not his or her name.",201703,blank,CSAT,UNK
"This story shows that using humor in a business setting can be
considered inappropriate in Germany.","A large American hardware manufacturer was invited to
introduce its products to a distributor with good reputation in
Germany. Wanting to make the best possible impression, the
American company sent its most promising young executive,
Fred Wagner, who spoke fluent German. When Fred first met
his German hosts, he shook hands firmly, greeted everyone in
German, and even remembered to bow the head slightly as is
the German custom. Fred, a very effective public speaker,
began his presentation with a few humorous jokes to set a
relaxed atmosphere. However, he felt that his presentation was
not very well received by the German executives. Even though
Fred thought he had done his cultural homework, he made one
particular error. Fred did not win any points by telling a few
jokes. It was viewed as too informal and unprofessional in a
German business setting.",201703,topic,CSAT,UNK
"Thank you for the good, even if you don't have enough help","When someone has helped you, but has perhaps not done all
that you requested, focus on what the person has done, not on
what he hasn’t. Although this would seem to be morally
obvious, many people are so caught up with their own needs
that they ignore the good done for them.
A teacher once received a letter from a student, asking
fourteen unrelated questions on a variety of subjects. The
teacher wrote back a long reply in which he dealt with thirteen
of the questions. He soon received a return letter from the
student, who not only noted the omission, but expressed no
thanks for what the teacher had written. Though the teacher
was a man of great patience, he was hurt by the student’s
behavior: “Not only was there no word of thanks, but at the
beginning of your letter you reminded me that there was one of
your questions to which I forgot to give an answer. Was that the
proper beginning and response to a letter of ten pages?” He
went on to tell the student: “I mention this not because I need
your thanks, but because of my love for you and concern that
you should not become a person who denies the good done for
him.”",201703,topic,CSAT,UNK
"scared, embarrassed","I rode my bicycle alone from work on the very quiet road of my hometown. Suddenly, I noticed a man with long hair
secretly riding behind me. I felt my heart jump. I quickened my legs pushing the pedals, hoping to ride faster. He kept
following me through the dark, across the field. At last, I got home and tried to reach the bell. The man reached for me. I
turned my head around and saw the oddest face in the world. From deep in his throat, I heard him say, “Excuse me, you
dropped your bag,” giving the bag back to me. I couldn’t say anything, but was full of shame and regret for
misunderstanding him.",201703_2,atmosphere,CSAT,UNK
Being honest with your feelings helps.,"Much has been written and said about positive selftalk― for example, repeating to ourselves “I am wonderful” when we
feel down, “I am strong” when going through a difficult time, or “I am getting better every day in every way” each morning
in front of the mirror. The evidence that this sort of pep talk works is weak, and there are psychologists who suggest that it
can actually hurt more than it can help. Little, unfortunately, has been written about real selftalk, acknowledging honestly
what we are feeling at a given point. When feeling down, saying “I am really sad” or “I feel so torn”―to ourselves or to
someone we trust―is much more helpful than declaring “I am tough” or “I am happy.”",201703_2,opinion,CSAT,UNK
the necessity to build up physical strength,"The word sin itself is an interesting concept. It’s actually a term from archery, and it means “to miss the mark.” When we
commit the “sin” of failing to take care of our bodies through proper nutrition, exercise, and rest, we’re missing the mark of
what life is all about. Businesspeople will tell you that the individual who is in the best physical shape often wins in
negotiations, because he has the physical stamina to see the deal through. One of the reasons worldclass golfers are
head and shoulders above the other golfers of their era is that they are in so much better shape than the others are. They
work out not just on the practice range but in the weight room, which means that they have the strength and stamina to
win not just the physical game but the mental game in order to close out their opponents in major tournaments.",201703_2,topic,CSAT,UNK
Give Your Body and Mind Time to Relax,"Introducing recovery in all aspects of my life has transformed my overall experience. In four or five intensive houranda-
half sessions, each followed by at least fifteen minutes of recovery, I get just about as much done as I did previously in a
twelvehour marathon day. Taking one full day off every week makes me more productive overall rather than less so. And
finally, I have come to see vacations as a good investment. Today, like a sprinter, I get as much work done as I did
previously like a marathon runner―in a lot less time and with a lot more energy and positive emotions. I spend more time
with my family and friends, and when I do, I am more present. There is no magic here; I am simply paying better attention
to my human needs.",201703_2,topic,CSAT,UNK
Children should be able to develop their own sense of beauty.,"Children sometimes see and say things to please adults; teachers must realize this and the power it implies. Teachers
who prefer that children see beauty as they themselves do are not encouraging a sense of aesthetics in children. They are
fostering uniformity and obedience. Only children who choose and evaluate for themselves can truly develop their own
aesthetic taste. Just as becoming literate is a basic goal of education, one of the key goals of all creative early childhood
programs is to help young children develop the ability to speak freely about their own attitudes, feelings, and ideas about
art. Each child has a right to a personal choice of beauty, joy, and wonder. Aesthetic development takes place in secure
settings free of competition and adult judgment.",201703_2,topic,CSAT,UNK
"It is indeed very striking how similar the ideas are on which the founders of modern theory in evolutionary biology and economics
based their main thoughts.","When Charles Darwin developed his theory of natural selection, he created a picture of the evolutionary process in which
organismic adaptation was ultimately caused by competition for survival and reproduction. This biological “struggle for
existence” bears considerable resemblance to the human struggle between businessmen who are striving for economic
success in competitive markets. Long before Darwin published his work, social scientist Adam Smith had already
considered that in business life, competition is the driving force behind economic efficiency and adaptation.",201703_2,blank,CSAT,UNK
"By feeding the enemy wrong information , the English army
gained a strong advantage.","In 1944 the German rocketbomb attacks on London suddenly escalated. Over two thousand V1 flying bombs fell on the
city, killing more than five thousand people and wounding many more. Somehow, however, the Germans consistently
missed their targets. Bombs that were intended for Tower Bridge, or Piccadilly, would fall well short of the city, landing in
the less populated suburbs. This was because, in fixing their targets, the Germans relied on secret agents they had
planted in England. They did not know that these agents had been discovered, and that in their place, Englishcontrolled
agents were giving them subtly deceptive information. The bombs would hit farther and farther from their targets every
time they fell. By the end of the attack they were landing on cows in the country. ",201703_2,blank,CSAT,UNK
